id,title,year,place,type,link,image,Filename
dc00000003,Prunktisch,1851,Hamburg ,Tisch,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m60150b9039ed4,dc00000003.m60150b9039ed4
dc00000947,Vase mit Platanendekor,1851,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea912e5ed,dc00000947.m57d2ea912e5ed
dc00000948,Dose mit zwei Henkeln,1851,Versailles ,Dose,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea920be17,dc00000948.m57d2ea920be17
dc00000949,Kumme,1851,Versailles ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea92c0752,dc00000949.m57d2ea92c0752
dc00000951,Beutelvase,1851,Versailles ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea934ef31,dc00000951.m57d2ea934ef31
dc00000952,Kugelvase,1851,Versailles ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea93ce1d3,dc00000952.m57d2ea93ce1d3
dc00000953,Kleine Stangenvase,1851,Versailles ,Stangenvase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9461c15,dc00000953.m57d2ea9461c15
dc00000954,Vase,1851,Vallauris Golfe Juan; Alpes Maritimes,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea94ec32d,dc00000954.m57d2ea94ec32d
dc00000957,Vase,1851,Cincinnati (Ohio) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea95a51b0,dc00000957.m57d2ea95a51b0
dc00000958,Vase,1851,Cincinnati (Ohio) ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9655a82,dc00000958.m57d2ea9655a82
dc00000959,Schale in Blütenform,1891,Paris ,Schale,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9705538,dc00000959.m57d2ea9705538
dc00000965,Fläschchen,1891,Vallauris ,Flasche,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea979dfd7,dc00000965.m57d2ea979dfd7
dc00000966,Kürbisförmige Flasche mit Stöpsel,1891,Sèvres ,Flasche,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9898680,dc00000966.m57d2ea9898680
dc00000968,La Mer,1891,Sèvres ,Briefbeschwerer,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9969042,dc00000968.m57d2ea9969042
dc00000973,Vase,1891,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9a0a59d,dc00000973.m57d2ea9a0a59d
dc00000974,Doppelbalustervase,1891,Paris ,Balustervase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9a8e234,dc00000974.m57d2ea9a8e234
dc00000975,Vase,1891,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9b18372,dc00000975.m57d2ea9b18372
dc00000976,Dose mit geriefelter Wandung,1891,Paris ,Dose,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9badfdf,dc00000976.m57d2ea9badfdf
dc00000977,Becher mit Silberfassung,1891,Bourg-la-Reine ,Kumme (Schale),https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9c88e9b,dc00000977.m57d2ea9c88e9b
dc00000978,Vase mit Platanendekor,1891,Paris ,Vase,https://google.de,http://resources.digicult-museen.net/dam/provided_image/m57d2ea9d63ce6,dc00000978.m57d2ea9d63ce6
